station	date	time	tmpc	relh	drct	spdms	presshPa	1hrprcpmm				
SPZO	8/1/2014	0:00	14	30.69	0	0.00	1031.16					
SPZO	8/1/2014	1:00	12	37.67	0	0.00	1031.83					
SPZO	8/1/2014	2:00	8	53	0	0.00	1032.85					
SPZO	8/1/2014	3:00	7	56.74	0	0.00	1032.85					
SPZO	8/1/2014	4:00	7	61.03	0	0.00	1033.86					
SPZO	8/1/2014	5:00	6	60.79	260	2.57	1033.86					
SPZO	8/1/2014	6:00	6	60.79	0	0.00	1032.85					
SPZO	8/1/2014	7:00	5	65.16	0	0.00	1032.85					
SPZO	8/1/2014	8:00	4	69.88	M	0.51	1032.85					
SPZO	8/1/2014	9:00	3	74.98	M	0.51	1032.85					
SPZO	8/1/2014	10:00	3	69.67	0	0.00	1032.85					
SPZO	8/1/2014	10:30	3	74.98	0	0.00	1033.86					
SPZO	8/1/2014	11:00	2	74.8	0	0.00	1033.86					
SPZO	8/1/2014	11:30	2	80.51	0	0.00	1033.86					
SPZO	8/1/2014	12:00	3	74.98	0	0.00	1034.88					
SPZO	8/1/2014	12:20	6	65.38	M	1.03	1034.88					
SPZO	8/1/2014	13:00	M	M	M	1.03	1034.88					
SPZO	8/1/2014	13:30	10	53.54	M	1.03	1034.88					
SPZO	8/1/2014	14:00	12	43.61	M	1.03	1034.88					
SPZO	8/1/2014	14:30	14	38.26	M	0.51	1034.88					
SPZO	8/1/2014	15:00	15	33.35	M	1.03	1034.88					
SPZO	8/1/2014	15:30	16	31.28	0	0.00	1033.86					
SPZO	8/1/2014	16:00	17	29.35	M	1.03	1032.85					
SPZO	8/1/2014	16:30	19	22.33	M	2.06	1031.83					
SPZO	8/1/2014	17:00	19	20.72	M	2.57	1031.83					
SPZO	8/1/2014	17:30	20	19.47	M	2.06	1031.16					
SPZO	8/1/2014	18:00	21	11.54	M	1.54	1030.14					
SPZO	8/1/2014	18:30	20	14.35	240	3.09	1029.12					
SPZO	8/1/2014	19:00	22	12.69	M	1.54	1029.12					
SPZO	8/1/2014	19:30	22	11.74	300	2.06	1028.11					
SPZO	8/1/2014	20:00	21	13.49	M	2.06	1028.11					
SPZO	8/1/2014	20:30	20	15.5	10	5.14	1028.11					
SPZO	8/1/2014	21:00	18	22.06	30	6.69	1028.11					
SPZO	8/1/2014	21:30	17	27.27	360	6.17	1028.11					
SPZO	8/1/2014	22:00	17	25.32	10	5.66	1029.12					
SPZO	8/1/2014	22:30	15	30.98	10	6.69	1030.14					
SPZO	8/1/2014	23:00	14	30.69	10	5.14	1030.14					
SPZO	8/2/2014	0:00	13	35.28	M	2.06	1031.16					
SPZO	8/2/2014	1:00	10	43.03	80	2.06	1031.83					
SPZO	8/2/2014	2:00	8	49.24	M	1.03	1032.85					
SPZO	8/2/2014	3:00	6	56.48	260	2.06	1032.85					
SPZO	8/2/2014	4:00	6	56.48	0	0.00	1033.86					
SPZO	8/2/2014	5:00	4	64.93	0	0.00	1033.86					
SPZO	8/2/2014	6:00	4	69.88	0	0.00	1033.86					
SPZO	8/2/2014	7:00	3	69.67	0	0.00	1033.86					
SPZO	8/2/2014	8:00	3	69.67	0	0.00	1032.85					
SPZO	8/2/2014	9:00	2	74.8	0	0.00	1032.85					
SPZO	8/2/2014	10:00	1	80.36	270	0.51	1033.86					
SPZO	8/2/2014	10:30	0	80.22	0	0.00	1033.86					
SPZO	8/2/2014	11:00	0	80.22	0	0.00	1033.86					
SPZO	8/2/2014	11:30	1	74.63	0	0.00	1034.88					
SPZO	8/2/2014	12:00	2	74.8	0	0.00	1034.88					
SPZO	8/2/2014	12:30	5	65.16	M	1.03	1035.90					
SPZO	8/2/2014	13:00	7	56.74	0	0.00	1035.90					
SPZO	8/2/2014	13:30	9	49.53	M	0.51	1035.90					
SPZO	8/2/2014	14:00	10	46.31	M	1.03	1035.90					
SPZO	8/2/2014	14:30	12	40.54	M	1.03	1035.90					
SPZO	8/2/2014	15:00	13	37.97	0	0.00	1035.90					
SPZO	8/2/2014	15:30	15	30.98	M	1.03	1034.88					
SPZO	8/2/2014	16:00	17	25.32	M	1.03	1034.88					
SPZO	8/2/2014	16:30	18	18.96	80	2.57	1032.85					
SPZO	8/2/2014	17:00	19	17.81	M	2.06	1032.85					
SPZO	8/2/2014	17:30	19	17.81	M	3.09	1031.83					
SPZO	8/2/2014	18:00	20	14.35	M	3.09	1031.16					
SPZO	8/2/2014	18:30	20	14.35	200	3.60	1030.14					
SPZO	8/2/2014	19:00	20	14.35	140	2.57	1030.14					
SPZO	8/2/2014	19:30	24	12.14	350	4.63	1030.14					
SPZO	8/2/2014	20:00	22	13.71	10	5.14	1030.14					
SPZO	8/2/2014	20:30	19	17.81	10	6.69	1030.14					
SPZO	8/2/2014	21:00	18	18.96	10	6.17	1030.14					
SPZO	8/2/2014	21:30	17	23.5	360	6.17	1030.14					
SPZO	8/2/2014	22:00	17	21.79	10	5.66	1030.14					
SPZO	8/2/2014	22:20	15	24.76	360	5.66	1030.14					
SPZO	8/2/2014	23:00	15	24.76	360	6.17	1030.14					
SPZO	8/3/2014	0:00	14	24.49	40	3.09	1031.16					
SPZO	8/3/2014	1:00	11	29.82	M	1.03	1032.85					
SPZO	8/3/2014	2:00	9	31.57	0	0.00	1033.86					
SPZO	8/3/2014	3:00	7	36.18	M	1.03	1034.88					
SPZO	8/3/2014	4:00	6	41.84	M	1.03	1034.88					
SPZO	8/3/2014	5:00	5	44.85	0	0.00	1034.88					
SPZO	8/3/2014	6:00	5	48.39	0	0.00	1034.88					
SPZO	8/3/2014	7:00	2	55.41	270	2.06	1034.88					
SPZO	8/3/2014	8:00	2	55.41	0	0.00	1033.86					
SPZO	8/3/2014	9:00	1	64.23	M	1.03	1033.86					
SPZO	8/3/2014	10:00	1	69.25	80	1.03	1033.86					
SPZO	8/3/2014	10:30	1	69.25	0	0.00	1034.88					
SPZO	8/3/2014	11:00	0	74.44	0	0.00	1034.88					
SPZO	8/3/2014	11:30	0	69.04	M	0.51	1035.90					
